pmid	year	title_short	current_design	current_target_population	current_delivery_model	current_followup_reporting_level	current_followup_completion_pct	n_invited	n_participated	uptake_pct	acceptability_reported	cost_reported	candidate_core_status	candidate_reason	manual_curator_decision	manual_curator_notes	manual_core_decision	manual_decision_reason	manual_evidence_text	manual_followup_level_if_changed	manual_followup_pct_if_changed	manual_notes	curator_id	curation_date
41621746	2026	A pilot study on the acceptability and feasibility of HPV self-sampling for cervical cancer screening among women attending urban hospitals in Kumasi, Ghana.	cross_sectional_pilot	rural_low_access	clinic_pickup_return_clinic	referral_only		60	60	100.0	Y	N	candidate_core	Final 58-record adjudication			CORE	Ghana pilot study asked participants to self-collect HPV samples and reports enrollment, acceptability, HPV positivity, and VIA confirmation.	Final eligibility reconciliation based on PubMed abstract evidence and the adjudication worksheet.			Added during final eligibility reconciliation.	curation_team	2026-06-13
41677057	2026	Uptake of cervical screening and attitudes to HPV self-sampling in Irish Traveller women, an ethnic minority group.	observational	migrant_minority	chw_door_to_door	none			483.0		Y	N	candidate_non_core	preference_willingness_only_without_cascade_result			NON_CORE	Attitude survey; self-sampling not yet offered in Ireland.	It is not currently offered in Ireland, but assessment of acceptability is ongoing.				GC	2026-06-13
41728465	2026	Role of Training Paramedical Staff for Cervical Cancer Screening via Human Papillomavirus Self-Sampling in Remote Mounta	other	other	outreach_event_distribution	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
41744859	2026	Transitioning from Cytology to HPV Test-Based Primary Cervical Screening in Canada: A Population-Based Survey of Women's	observational	underscreened_general	clinic_pickup_return_clinic	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
41782308	2026	Native American Women's Willingness to Screen for Both Cervical and Colorectal Cancer at Home.	observational	other	mail_to_home_return_mail	none			45.0		N	N	candidate_non_core	preference_willingness_only_without_cascade_result			NON_CORE	Willingness survey only; no actual implementation.	...83.0% said they would be willing to do both [at home]...				GC	2026-06-13
41787233	2026	Acceptability and Feasibility of Home-Based Human Papillomavirus Self-Testing as Primary Screening for Cervical Cancer D	observational	other	mail_to_home_return_mail	referral_only			58.0		Y	N	candidate_core	extractable_implementation_or_cascade_result										
39235543	2025	Evaluation of Human Papillomavirus Vaccination and Cancer Prevention Behaviors among LGBTQI + Individuals: A Cross-Secti	observational	underscreened_general	mail_to_home_return_mail	none					Y	N	manual_review	insufficient_structured_signal			NON_CORE	Survey of preferences and behaviors among LGBTQI+; no implementation results.	...assessed via an online survey available to members of the HER mobile app...				GC	2026-06-13
39332630	2025	[How do women in Réunion Island want to perform HPV test on vaginal sampling as part of cervical cancer screening?].	observational	other	unk	referral_only		202.0			N	N	candidate_core	extractable_implementation_or_cascade_result										
39412108	2025	Acceptability and validity of HPV self-sampling for cervical cancer screening among women living in different ecological	observational	other	clinic_pickup_return_clinic	none					Y	N	candidate_non_core	assay_or_device_performance_only_without_extractable_implementation_result			CORE	Community-based intervention with actual uptake results.	Acceptance rate of self-sampling was 99.2%, 97%, and 98.8%...	referral_only		Provided management to positives	GC	2026-06-13
39445831	2025	A Mail-Based HPV Self-Collection Program to Increase Cervical Cancer Screening in Appalachia: Results of a Group Randomi	individual_RCT	underscreened_general	mail_to_home_return_mail	none		2022.0		10.5	N	N	candidate_core	extractable_implementation_or_cascade_result										
39545880	2025	Self-Collection for Primary HPV Testing: Acceptability in a Large Urban Emergency Department.	observational	other	outreach_event_distribution	none					Y	N	manual_review	insufficient_structured_signal			CORE	ER-based pilot study with actual completion rate (90%).	...pilot study... in Houston... completion rate was 90%.				GC	2026-06-13
39579017	2025	Participation and relative cost of attendance by direct-mail compared to opt-in invitation strategy for HPV self-samplin	individual_RCT	nonattenders	mail_to_home_return_mail	referral_only		49393.0	2426.0	5.2	N	Y	candidate_core	extractable_implementation_or_cascade_result										
39617104	2025	Modeling HPV Self-Sampling Impact on Cervical Cancer in East African Immigrants.	model	migrant_minority	clinic_pickup_return_clinic	none					N	N	candidate_non_core	model_or_economic_model			NON_CORE	Markov cohort state-transition modeling.	A Markov cohort state-transition model was used to predict the impact...				GC	2026-06-13
39857972	2025	Beliefs and Perceptions in Attending the Cervical Screening: The COMUNISS Project Experience.	observational	underscreened_general	outreach_event_distribution	none					Y	N	candidate_non_core	preference_willingness_only_without_extractable_implementation_result			CORE	Program evaluation with kit return data.	Women can also require a vaginal self-sampling kit at your home... One-quarter ... returned it.				GC	2026-06-13
39970046	2025	Assessing the Acceptability of a Vaginal Self-Sampling Device in a Rural Parish of Cuenca, Ecuador.	observational	other	unk	none					Y	N	candidate_non_core	assay_or_device_performance_only_without_extractable_implementation_result			CORE	Quasi-experimental community-based project.	...evaluates the acceptability, attitudes, and user experience of a community-based SS program.				GC	2026-06-13
39970849	2025	Analysis of time trends of prevalence of high-risk HPV infections, high grade cervical precancer and cervical cancer dis	program_evaluation	other	clinic_pickup_return_clinic	none					N	N	manual_review	insufficient_structured_signal			NON_CORE	Trend analysis of prevalence.	Analysis of time trends of prevalence of high-risk HPV infections...				GC	2026-06-13
40033233	2025	Comparative analysis of SD biosensor standard™ M10 HPV and seegene anyplex™ II HPV HR for detecting high-risk human papi	other	other	outreach_event_distribution	none					N	N	manual_review	insufficient_structured_signal			NON_CORE	Concordance/accuracy study.	...agreement between the assays was evaluated using Cohen's Kappa...				GC	2026-06-13
40132158	2025	General Practitioners' Needs and Preferences Regarding the Provision of Self-sampling Tests for Cervical Cancer Screenin	observational	underscreened_general	mail_to_home_return_mail	none					Y	Y	candidate_non_core	preference_willingness_only_without_extractable_implementation_result			NON_CORE	GP needs and preferences survey.	Semi-structured interviews were conducted with GPs participating in an implementation study...				GC	2026-06-13
40133975	2025	Efficacy and acceptability of a self-collected medical grade tampon as a novel vaginal sample collection tool for the de	individual_RCT	other	unk	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
40150899	2025	Recommendations for a Communication Strategy to Support Informed Decision-Making About Self or Clinician Sampling for Ce	observational	migrant_minority	clinic_pickup_return_clinic	none					Y	N	manual_review	insufficient_structured_signal			NON_CORE	Qualitative co-production of a communication strategy.	Recommendations for a Communication Strategy ... Qualitative Study.				GC	2026-06-13
40192218	2025	Self-collected vaginal HPV samples for long-term non-attendees in the Swedish organized cervical cancer screening progra	other	other	home_mail	completion_reported	80.2		71.0	9.4	N	N	candidate_core	extractable_implementation_or_cascade_result										
40209155	2025	Self-Collected Swabs for Primary HPV Screening in an Underscreened Population in Hawaii.	observational	underscreened_general	clinic_pickup_return_clinic	none					Y	N	manual_review	insufficient_structured_signal			CORE	Feasibility study in clinical setting with outcomes.	20 participants enrolled and completed the study... The HPV analysis confirmed 1 positive result.	referral_only		1 positive confirmed	GC	2026-06-13
40214249	2025	Diagnostic accuracy of the Daye diagnostic tampon compared to clinician-collected and self-collected vaginal swabs for d	other	other	clinic_pickup_return_clinic	none					Y	N	candidate_non_core	assay_or_device_performance_only_without_extractable_implementation_result			NON_CORE	Diagnostic accuracy study of a novel device (Daye tampon).	Diagnostic accuracy of the Daye diagnostic tampon ... using CCS as the reference standard.				GC	2026-06-13
40238291	2025	HPV Self-Sampling Promotion Among African American (AA) and Sub-Saharan African (SAI) Immigrant Women: Adaptation and Us	other	underscreened_general	mail_to_home_return_mail	none					Y	N	manual_review	insufficient_structured_signal			NON_CORE	Intervention adaptation and usability testing.	This paper describes the adaptation, acceptability, and useability of an education intervention...				GC	2026-06-13
40275341	2025	Improving cervical cancer screening participation by introducing HPV vaginal self-sampling to women living with HIV in D	other	other	clinic_pickup_return_clinic	completion_reported	40.0		80.0	80.0	Y	N	candidate_core	extractable_implementation_or_cascade_result										
40308366	2025	Acceptability of Vaginal Human Papillomavirus Self-Collection Among Colposcopy Clinic Attendees.	acceptability_survey	other	clinic_pickup_return_clinic	none		81	81	100.0	Y	N	candidate_non_core	Final 58-record adjudication			NON_CORE	Clinic-based acceptability study among colposcopy attendees after self-collection; not an underscreened implementation programme and no outreach uptake endpoint.	Final eligibility reconciliation based on PubMed abstract evidence and the adjudication worksheet.			Added during final eligibility reconciliation.	curation_team	2026-06-13
40321706	2025	Implementation science research to understand the readiness of a mobile clinic intervention to screen for high-risk HPV 	observational	other	outreach_event_distribution	referral_only					N	N	candidate_core	extractable_implementation_or_cascade_result										
40359821	2025	Women's perceptions and preferences toward HPV self-sampling in France: A questionnaire within the French CapU4 Trial.	individual_RCT	underscreened_general	unk	none				9.1	Y	N	candidate_core	extractable_implementation_or_cascade_result										
40383738	2025	Modelling the cost-effectiveness of cervical cancer screening with HPV self-sampling and molecular triage for women aged	model	other	unk	referral_only					N	Y	candidate_non_core	model_or_economic_model			NON_CORE	Cost-effectiveness modeling study.	This study models the cost-effectiveness ... Using real-world data [as input]...				GC	2026-06-13
40402507	2025	Human papillomavirus vaccination, cervical cancer screening, and acceptability of self-sampling: a cross-sectional study	other	migrant_minority	unk	none					Y	N	manual_review	insufficient_structured_signal			NON_CORE	Cross-sectional survey on vaccine/screening status.	...awareness, access, and use of HPV vaccination and CCS, as well as the acceptability...				GC	2026-06-13
40403313	2025	Self-Collection for Human Papillomavirus Testing in Clinical Settings: An Opportunity to Reflect on the Disconnect Betwe	other	rural_low_access	clinic_pickup_return_clinic	referral_only					N	N	candidate_core	extractable_implementation_or_cascade_result										
40427897	2025	Barriers and Opportunities for HPV Self-Sampling in Underserved Rural Communities: Insights from a Mixed Methods Study.	observational	other	mail_to_home_return_mail	none					N	N	candidate_non_core	qualitative_or_interview_only_without_extractable_implementation_result			NON_CORE	Survey on willingness to self-collect.	...explored factors influencing rural Kenyan women's willingness...				GC	2026-06-13
40457337	2025	High-risk human papillomavirus testing in first-void urine as a novel and non-invasive cervical cancer screening modalit	program_evaluation	underscreened_general	outreach_event_distribution	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
40598474	2025	Exponential uptake of HPV self-collected cervical screening testing 2 years since universal availability in Victoria, Au	other	never_screened	clinic_pickup_return_clinic	referral_only					N	N	candidate_core	extractable_implementation_or_cascade_result										
40674748	2025	Implementation of Human Papillomavirus Self-Collection and Barriers to Follow-Up Among Unhoused Individuals in Texas: Th	observational	underscreened_general	unk	referral_only					N	N	candidate_core	extractable_implementation_or_cascade_result										
40691200	2025	Accuracy and acceptability of self-sampling HPV testing in cervical cancer screening: a population-based study in rural 	other	migrant_minority	clinic_pickup_return_clinic	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
40705442	2025	Design and Validation of a Chatbot-Based Cervical Cancer Screening Decision Aid for Women Experiencing Socioeconomic Dis	observational	other	unk	none					Y	N	candidate_non_core	assay_or_device_performance_only_without_extractable_implementation_result			NON_CORE	Development/validation of a chatbot decision aid.	Design and Validation of a Chatbot-Based ... Decision Aid.				GC	2026-06-13
40726443	2025	Targeting under-screened women in cervical cancer: combining self-sampling and human papillomavirus testing with a strat	other	underscreened_general	mail_to_home_return_mail	completion_reported	91.7		801.0		N	N	candidate_core	extractable_implementation_or_cascade_result										
40735948	2025	SIP 7: Progress in Cervical Cancer Prevention in the UK (2025 Second Edition).	other	other	clinic_pickup_return_clinic	referral_only				0.0	N	N	candidate_core	extractable_implementation_or_cascade_result										
40750852	2025	Acceptability, feasibility and appropriateness of integrating HPV self-sampling for cervical cancer screening into volun	cluster_RCT	migrant_minority	chw_door_to_door	none					Y	Y	manual_review	insufficient_structured_signal			NON_CORE	Healthcare provider perspective survey.	The study population were healthcare providers purposively selected...				GC	2026-06-13
40789299	2025	Cervical screening approach of self-collection, point-of-care HPV testing, and same-day colposcopy among Aboriginal and 	program_evaluation	never_screened	outreach_event_distribution	completion_reported	95.0	844.0	108.0	36.0	N	N	candidate_core	extractable_implementation_or_cascade_result										
40807187	2025	The Use of Self-Sampling Devices via a Smartphone Application to Encourage Participation in Cervical Cancer Screening: A	other	other	unk	none					N	N	candidate_non_core	assay_or_device_performance_only_without_extractable_implementation_result			CORE	Pilot study of smartphone-based device with 277 participants.	277 patients were enrolled, with 226 self-collected swabs received for analysis.				GC	2026-06-13
40813245	2025	Development of a Cervical Cancer Screening Program in Rural Guatemala.	program_evaluation	other	mail_to_home_return_mail	referral_only					N	Y	candidate_core	extractable_implementation_or_cascade_result										
40844094	2025	HPV-DNA testing from self-sampled menstrual blood using M-strip: A proof-of-concept study on feasibility & acceptance of a novel biosampling method.	proof_of_concept	other	clinic_pickup_return_clinic	none		111	111	100.0	Y	N	candidate_non_core	Final 58-record adjudication			NON_CORE	Proof-of-concept menstrual blood self-sampling feasibility/acceptance study; method feasibility rather than programme implementation in an underserved group.	Final eligibility reconciliation based on PubMed abstract evidence and the adjudication worksheet.			Added during final eligibility reconciliation.	curation_team	2026-06-13
40846731	2025	Southern Vietnamese women's views on HPV vaccination, cervical cancer screening, and HPV self-sampling.	qualitative	rural_low_access	unk	none					Y	N	candidate_non_core	Final 58-record adjudication			NON_CORE	Focus-group study of Vietnamese women’s views on HPV self-sampling and prevention; no observed screening implementation outcome.	Final eligibility reconciliation based on PubMed abstract evidence and the adjudication worksheet.			Added during final eligibility reconciliation.	curation_team	2026-06-13
40864371	2025	Group concept mapping to develop a salon-based HPV self-collection intervention.	intervention_development	migrant_minority	outreach_event_distribution	none					Y	N	candidate_non_core	Final 58-record adjudication			NON_CORE	Concept-mapping study to design a salon-based HPV self-collection intervention; no implemented screening or uptake outcome.	Final eligibility reconciliation based on PubMed abstract evidence and the adjudication worksheet.			Added during final eligibility reconciliation.	curation_team	2026-06-13
40877387	2025	Assessing the feasibility of HPV screening for cervical cancer in pregnant women in Ethiopia.	feasibility_study	other	clinic_pickup_return_clinic	completion_reported	93.1	127	117	92.1	Y	N	candidate_core	Final 58-record adjudication			CORE	Ethiopian feasibility study of HPV self-sampling screening in pregnant women reports participation, HPV results, and triage pathway.	Final eligibility reconciliation based on PubMed abstract evidence and the adjudication worksheet.			Added during final eligibility reconciliation.	curation_team	2026-06-13
40892862	2025	The acceptability, safety, and performance of primary cervical screening through self-collected vaginal samples in an ur	observational	underscreened_general	clinic_pickup_return_clinic	referral_only		2256.0	30.0	71.1	Y	N	candidate_core	extractable_implementation_or_cascade_result										
40895516	2025	Impact of mode of offer of self-sampling to people overdue cervical screening on screening participation: a randomised c	individual_RCT	nonattenders	unk	none		123.0	6080.0	1.9	N	N	candidate_core	extractable_implementation_or_cascade_result										
40952305	2025	The Utilization of Human Papillomavirus Testing for Cervical Cancer Screening in Thailand: A Comparison of Screening with and without Self-sampling Samples.	retrospective_registry	underscreened_general	mixed_or_multiarm	none		11925	5056	42.4	N	N	candidate_core	Final 58-record adjudication			CORE	Thai programme/registry evaluation compares HPV screening with and without self-sampling and reports screening rate, self-test use, and cancer detection.	Final eligibility reconciliation based on PubMed abstract evidence and the adjudication worksheet.			Added during final eligibility reconciliation.	curation_team	2026-06-13
40956285	2025	Mailing Vaginal or Urine Self-Sampling Kits versus Conventional Invitation Letters: A Randomized Trial to Assess the Effect on Cervical Cancer Screening Attendance.	randomized_trial	nonattenders	mail_to_home_return_mail	none		13061	3075	23.5	N	N	candidate_core	Final 58-record adjudication			CORE	Randomized trial among women not regularly screened/nonresponders comparing mailed vaginal or urine self-sampling kits with conventional invitation and reporting participation.	Final eligibility reconciliation based on PubMed abstract evidence and the adjudication worksheet.			Added during final eligibility reconciliation.	curation_team	2026-06-13
40991583	2025	Acceptability of self-sampling for high-risk HPV DNA testing for primary cervical cancer screening among women in Thyolo	other	other	outreach_event_distribution	none					Y	N	manual_review	insufficient_structured_signal			NON_CORE	Qualitative study on perceptions.	...conducted a qualitative phenomenological study among ten purposively sampled women...				GC	2026-06-13
41032297	2025	Cost-Effectiveness of HPV Self-Testing Options for Cervical Cancer Screening.	model	underscreened_general	mail_to_home_return_mail	none		355.0			N	Y	candidate_non_core	model_or_economic_model			NON_CORE	Cost-effectiveness analysis based on RCT.	...this economic evaluation was a cost-effectiveness analysis (CEA)...				GC	2026-06-13
41044442	2025	Knowledge, Attitudes, and Behaviors Regarding HPV Vaccination and Self-Sampling Among US Young Adults.	observational	migrant_minority	unk	none					N	N	candidate_non_core	preference_willingness_only;survey_only_without_extractable_implementation_result			NON_CORE	Qualitative study for intervention development.	Qualitative in-depth semi-structured interviews were conducted...				GC	2026-06-13
41048518	2025	Validation of an in-house HPV CerviSens self-sampling kit: comparison against clinician-collected and self-collected samples.	diagnostic_validation	other	clinic_pickup_return_clinic	none					Y	N	candidate_non_core	Final 58-record adjudication			NON_CORE	Validation/comparison of a self-sampling kit among hospital attendees; method performance and acceptability rather than underserved implementation outcome.	Final eligibility reconciliation based on PubMed abstract evidence and the adjudication worksheet.			Added during final eligibility reconciliation.	curation_team	2026-06-13
41095475	2025	African American and African-Born Black Women's Perspectives and Experiences with a Cervical Health Education and HPV-Self Sampling Intervention.	qualitative	migrant_minority	outreach_event_distribution	none					Y	N	candidate_non_core	Final 58-record adjudication			NON_CORE	Qualitative evaluation of experiences after an education plus HPV self-sampling intervention among Black women; relevant implementation context but no extractable uptake denominator in abstract.	Final eligibility reconciliation based on PubMed abstract evidence and the adjudication worksheet.			Added during final eligibility reconciliation.	curation_team	2026-06-13
41142482	2025	Perceptions of a Diverse Group of U.S. Women on the Ease of Vaginal Self-Sampling for Cancer Detection.	observational	migrant_minority	unk	none			213.0		Y	N	candidate_non_core	preference_willingness_only_without_cascade_result			NON_CORE	Perception study on ease of use, no implementation.	...evaluated the perceived ease or difficulty of at-home self-collection methods.				GC	2026-06-13
41161016	2025	Performance of the Alinity m HR HPV assay on self-collected vaginal samples compared to clinician-collected cervical sam	other	underscreened_general	unk	referral_only					N	N	candidate_core	extractable_implementation_or_cascade_result										
41167263	2025	Effectiveness of Human Papillomavirus Self-collection for Cervical Cancer Screening in Community Outreach Programs.	observational	underscreened_general	clinic_pickup_return_clinic	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
41214399	2025	"""Mana Motuhake - I am in Charge and Have Control Over my Body"": a Cross-Sectional Survey Describing Māori Participants' "	observational	migrant_minority	unk	none					Y	N	candidate_non_core	survey_only_without_extractable_implementation_result			NON_CORE	Secondary survey of existing program participants.	A cross-sectional survey ... sought implementation study participants' perspectives.				GC	2026-06-13
41214745	2025	Cervical cancer screening policies and implementation in Uganda - a qualitative study on policymakers', cervical cancer experts' and gynecologists' perspectives.	qualitative	rural_low_access	unk	none					Y	N	candidate_non_core	Final 58-record adjudication			NON_CORE	Qualitative policy/stakeholder study discussing implementation and community self-sampling in Uganda; relevant context but no observed participant-level self-sampling uptake or follow-up outcome.	Final eligibility reconciliation based on PubMed abstract evidence and the adjudication worksheet.			Added during final eligibility reconciliation.	curation_team	2026-06-13
41267012	2025	Moroccan and Pakistani women's knowledge and perceptions on cervical cancer screening and HPV self-sampling acceptabilit	observational	underscreened_general	outreach_event_distribution	none					Y	N	candidate_non_core	preference_willingness_only;survey_only_without_extractable_implementation_result			CORE	Mixed-methods implementation study with try-at-home data.	Over half of the participants (56%) accepted to try at least one self-sampling device.				GC	2026-06-13
41285635	2025	Uptake and feasibility of HPV self-sampling among patients of a Canadian family medicine clinic.	program_evaluation	migrant_minority	outreach_event_distribution	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
41321069	2025	Exploring Emotional and Cognitive Perceptions of Cervical Cancer Screening and Self-Sampling Among Vulnerable Romanian W	observational	other	outreach_event_distribution	none					Y	N	candidate_non_core	preference_willingness_only_without_extractable_implementation_result			NON_CORE	Qualitative interviews on perceptions.	Eighteen semi-structured individual interviews were conducted with vulnerable women...				GC	2026-06-13
41360484	2025	Participation in cervical cancer screening among migrants and non-migrants in primary healthcare in Lisbon: a register-b	other	migrant_minority	clinic_pickup_return_clinic	none				9.6	N	N	candidate_core	extractable_implementation_or_cascade_result										
41408509	2025	Opportunistic offer of human papillomavirus (HPV) self-testing in ethnically diverse primary care clinics in Aotearoa Ne	other	underscreened_general	clinic_pickup_return_clinic	referral_only			30.0	61.1	N	N	candidate_core	extractable_implementation_or_cascade_result										
41412622	2025	Cervical high-risk human papillomavirus infection and its associated risk factors: a community-based cross-sectional stu	other	other	outreach_event_distribution	none		8000.0			N	N	candidate_core	extractable_implementation_or_cascade_result										
41441379	2025	Development and Evaluation of Innovation Scales for Mail-Based Human Papillomavirus (HPV) Self-Collection Among U.S. Low	observational	never_screened	mail_to_home_return_mail	none					Y	N	manual_review	insufficient_structured_signal			NON_CORE	Scale development research.	...Development and Evaluation of Innovation Scales for Mail-Based HPV Self-Collection...				GC	2026-06-13
41445714	2025	Patient attitudes toward HPV self-sampling and community health worker-delivered cervical cancer screening services in a	observational	other	outreach_event_distribution	none					N	N	candidate_non_core	preference_willingness_only_without_extractable_implementation_result			CORE	Real project assessment with CHW delivery willingness.	...Black patients had higher willingness for HPV self-sampling and CHW delivery...				GC	2026-06-13
41459847	2025	Evaluating The Feasibility and Acceptability of Cervical Cancer Screening in an Urban Slum Community by HPV Self-Samplin	other	other	outreach_event_distribution	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
41459991	2025	Cancer detection using human papillomavirus self-sampling targeting long-term non-attenders in an organized cervical scr	individual_RCT	nonattenders	mail_to_home_return_mail	referral_only				5.6	N	N	candidate_core	extractable_implementation_or_cascade_result										
41466250	2025	Readiness to transition to HPV self-collection from VIA screening: a mixed methods health systems assessment from Tamil 	observational	other	outreach_event_distribution	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
41467104	2025	Improving Patient Education Materials for HPV Self-Collection: Insights from Women at High Risk of Developing Cervical C	observational	underscreened_general	mail_to_home_return_mail	none					N	N	manual_review	insufficient_structured_signal			NON_CORE	Qualitative study on education materials; no implementation data.	...examined how existing HPV self-collection patient education materials can be enhanced...				GC	2026-06-13
36125430	2024	"""Black Women Don't Always Put Our Healthcare First"": Facilitators and Barriers to Cervical Cancer Screening and Percepti"	observational	other	unk	none			35.0		Y	N	candidate_non_core	qualitative_or_interview_only_without_cascade_result			NON_CORE	Qualitative study on perceptions and barriers.	...examine attitudes, barriers, facilitators, and intentions ...				GC	2026-06-13
37633857	2024	HPV self-sampling among women in the United States: preferences for implementation.	other	other	mail_to_home_return_mail	referral_only					Y	N	candidate_core	extractable_implementation_or_cascade_result										
37870947	2024	Acceptability of Anal Human Papillomavirus Home Self-Sampling and Clinician Sampling Among Sexual and Gender Minority In	individual_RCT	migrant_minority	mail_to_home_return_mail	none					Y	N	manual_review	insufficient_structured_signal			NON_CORE	Anal HPV sampling (Out of Scope).	Acceptability of Anal Human Papillomavirus Home Self-Sampling...				GC	2026-06-13
37935320	2024	Self-Sampling for Human Papillomavirus Testing: Acceptability in a U.S. Safety Net Health System.	observational	underscreened_general	mail_to_home_return_mail	none					Y	N	manual_review	insufficient_structured_signal			CORE	Acceptability study based on actual mailed kit users (n=164).	...reported using the mailed kit (n=164)...				GC	2026-06-13
38060284	2024	Self-sampling tools to increase cancer screening among underserved patients: a pilot randomized controlled trial.	individual_RCT	other	mail_to_home_return_mail	referral_only					N	N	candidate_core	extractable_implementation_or_cascade_result										
38103276	2024	Resilience of the Dutch HPV-based cervical screening programme during the COVID-19 pandemic.	registry_cohort	underscreened_general	mixed_or_multiarm	none				49.8	N	N	candidate_non_core	Final 58-record adjudication			NON_CORE	Dutch national programme resilience study reports overall participation and self-sampling use during COVID; useful programme context but not focused on underscreened target population.	Final eligibility reconciliation based on PubMed abstract evidence and the adjudication worksheet.			Added during final eligibility reconciliation.	curation_team	2026-06-13
38292027	2024	Integrating HPV self-collect into primary care to address cervical cancer screening disparities.	observational	underscreened_general	clinic_pickup_return_clinic	none					N	N	manual_review	insufficient_structured_signal			NON_CORE	Discussion of integration needs/perspectives.	...integration into routine primary care... perspectives of a broader range of stakeholders.				GC	2026-06-13
38321465	2024	Exploring self-care and cervical cancer prevention attitudes and practices among Moroccan and Pakistani immigrant women 	observational	migrant_minority	unk	none					N	N	candidate_non_core	preference_willingness_only_without_extractable_implementation_result			NON_CORE	Qualitative study on attitudes among immigrants.	We conducted focus groups and individual interviews...				GC	2026-06-13
