record_id	pmid	doi	year	title_short	country_or_region	income_level	target_population	target_population_notes	setting	delivery_model	return_channel	followup_support	self_sampling_confirmed	assay_type	triage_pathway	design	n_invited	n_participated	uptake_pct	followup_closure_reported	followup_reporting_level	followup_completion_pct	followup_notes	equity_stratified_results_reported	acceptability_reported	cost_reported	key_barriers_facilitators	limitations	implementation_core_status	implementation_core_reason	implementation_core_evidence
PMID_41728465	41728465	10.7759/cureus.102046	2026	Role of Training Paramedical Staff for Cervical Cancer Screening via Human Papillomavirus Self-Sampling in Remote Mounta	UNK	UNK	other		community_outreach	outreach_event_distribution	mixed	unk	Y	DNA	cytology	other				Y	referral_only			N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.	CORE	extractable_implementation_or_cascade_result	
PMID_41744859	41744859	10.3390/curroncol33020095	2026	Transitioning from Cytology to HPV Test-Based Primary Cervical Screening in Canada: A Population-Based Survey of Women's	Canada	HIC	underscreened_general		home_mail	clinic_pickup_return_clinic	mail	unk	Y	UNK	cytology	observational				Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41787233	41787233	10.1007/s10900-026-01554-1	2026	Acceptability and Feasibility of Home-Based Human Papillomavirus Self-Testing as Primary Screening for Cervical Cancer D	UNK	UNK	other		home_mail	mail_to_home_return_mail	mail	unk	Y	UNK	cytology	observational		58.0		Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_39332630	39332630	10.1016/j.gofs.2024.09.004	2025	[How do women in Réunion Island want to perform HPV test on vaginal sampling as part of cervical cancer screening?].	UNK	UNK	other		home_mail	unk	unk	unk	Y	UNK	unk	observational	202.0			Y	referral_only			N	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.	CORE	extractable_implementation_or_cascade_result	
PMID_39412108	39412108	10.1002/ijc.35222	2025	Acceptability and validity of HPV self-sampling for cervical cancer screening among women living in different ecological	UNK	UNK	other		community_outreach	clinic_pickup_return_clinic	mixed	unk	Y	UNK	cytology	observational				Y	referral_only		Provided management to positives	N	Y	N		Field reconciled during final eligibility review.	CORE	Community-based intervention with actual uptake results.	Acceptance rate of self-sampling was 99.2%, 97%, and 98.8%...
PMID_39445831	39445831	10.1158/1055-9965.epi-24-0999	2025	A Mail-Based HPV Self-Collection Program to Increase Cervical Cancer Screening in Appalachia: Results of a Group Randomi	United States	HIC	underscreened_general		home_mail	mail_to_home_return_mail	mail	reminders	Y	DNA	cytology	individual_RCT	2022.0		10.5	N	none			N	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.	CORE	extractable_implementation_or_cascade_result	
PMID_39545880	39545880	10.1016/j.annemergmed.2024.10.002	2025	Self-Collection for Primary HPV Testing: Acceptability in a Large Urban Emergency Department.	United States	HIC	other		other	outreach_event_distribution	unk	unk	Y	UNK	cytology	observational				N	none			N	Y	N		Field reconciled during final eligibility review.	CORE	ER-based pilot study with actual completion rate (90%).	...pilot study... in Houston... completion rate was 90%.
PMID_39579017	39579017	10.1002/ijc.35263	2025	Participation and relative cost of attendance by direct-mail compared to opt-in invitation strategy for HPV self-samplin	UNK	UNK	nonattenders		primary_care	mail_to_home_return_mail	in_person	unk	Y	UNK	unk	individual_RCT	49393.0	2426.0	5.2	Y	referral_only			N	N	Y		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_39857972	39857972	10.3390/cancers17020190	2025	Beliefs and Perceptions in Attending the Cervical Screening: The COMUNISS Project Experience.	UNK	UNK	underscreened_general		home_mail	outreach_event_distribution	unk	unk	Y	UNK	unk	observational				N	none			N	Y	N		Field reconciled during final eligibility review.	CORE	Program evaluation with kit return data.	Women can also require a vaginal self-sampling kit at your home... One-quarter ... returned it.
PMID_39970046	39970046	10.1177/21501319251320172	2025	Assessing the Acceptability of a Vaginal Self-Sampling Device in a Rural Parish of Cuenca, Ecuador.	UNK	UNK	other		community_outreach	unk	mixed	unk	Y	UNK	cytology	observational				N	none			N	Y	N		Field reconciled during final eligibility review.	CORE	Quasi-experimental community-based project.	...evaluates the acceptability, attitudes, and user experience of a community-based SS program.
PMID_40133975	40133975	10.1186/s12905-025-03652-z	2025	Efficacy and acceptability of a self-collected medical grade tampon as a novel vaginal sample collection tool for the de	UNK	UNK	other		other	unk	unk	unk	Y	UNK	cytology	individual_RCT				Y	referral_only			N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.	CORE	extractable_implementation_or_cascade_result	
PMID_40192218	40192218	10.1111/aogs.15112	2025	Self-collected vaginal HPV samples for long-term non-attendees in the Swedish organized cervical cancer screening progra	UNK	UNK	other		home_mail	home_mail	unk	unk	Y	DNA	direct_colposcopy	other		71.0	9.4	Y	completion_reported	80.2	HPV-positive women: 80.2% attended follow-up.	N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_40209155	40209155	10.1097/lgt.0000000000000887	2025	Self-Collected Swabs for Primary HPV Screening in an Underscreened Population in Hawaii.	United States	HIC	underscreened_general		other	clinic_pickup_return_clinic	unk	unk	Y	UNK	cytology	observational				Y	referral_only		1 positive confirmed	N	Y	N		Field reconciled during final eligibility review.	CORE	Feasibility study in clinical setting with outcomes.	20 participants enrolled and completed the study... The HPV analysis confirmed 1 positive result.
PMID_40275341	40275341	10.1186/s12905-025-03740-0	2025	Improving cervical cancer screening participation by introducing HPV vaginal self-sampling to women living with HIV in D	UNK	UNK	other		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	DNA	unk	other		80.0	80.0	Y	completion_reported	40.0	Follow-up compliance among hrHPV-positive women was 40% (4/10).	N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.	CORE	extractable_implementation_or_cascade_result	
PMID_40321706	40321706	10.52872/001c.134069	2025	Implementation science research to understand the readiness of a mobile clinic intervention to screen for high-risk HPV 	UNK	UNK	other		community_outreach	outreach_event_distribution	mixed	unk	Y	DNA	cytology	observational				Y	referral_only			Y	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_40359821	40359821	10.1016/j.jiph.2025.102809	2025	Women's perceptions and preferences toward HPV self-sampling in France: A questionnaire within the French CapU4 Trial.	France	HIC	underscreened_general		home_mail	unk	mail	reminders	Y	UNK	unk	individual_RCT			9.1	N	none		Questionnaire response/perceptions study; no post-positive follow-up completion.	N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_40403313	40403313	10.1097/aog.0000000000005941	2025	Self-Collection for Human Papillomavirus Testing in Clinical Settings: An Opportunity to Reflect on the Disconnect Betwe	United States	HIC	rural_low_access	rural under-screened	home_mail	clinic_pickup_return_clinic	mail	unk	Y	UNK	cytology	other				Y	referral_only			N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_40457337	40457337	10.1186/s12916-025-04149-0	2025	High-risk human papillomavirus testing in first-void urine as a novel and non-invasive cervical cancer screening modalit	UNK	UNK	underscreened_general		primary_care	outreach_event_distribution	in_person	unk	Y	DNA	direct_colposcopy	program_evaluation				Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_40598474	40598474	10.1186/s12916-025-04219-3	2025	Exponential uptake of HPV self-collected cervical screening testing 2 years since universal availability in Victoria, Au	Australia	HIC	never_screened		other	clinic_pickup_return_clinic	unk	unk	Y	UNK	direct_colposcopy	other				Y	referral_only			N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_40674748	40674748	10.1097/aog.0000000000006003	2025	Implementation of Human Papillomavirus Self-Collection and Barriers to Follow-Up Among Unhoused Individuals in Texas: Th	United States	HIC	underscreened_general		community_outreach	unk	mixed	unk	Y	DNA	direct_colposcopy	observational				Y	referral_only			N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_40691200	40691200	10.1038/s41598-025-09292-5	2025	Accuracy and acceptability of self-sampling HPV testing in cervical cancer screening: a population-based study in rural 	UNK	UNK	migrant_minority		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	mRNA	direct_colposcopy	other				Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_40726443	40726443	10.1093/eurpub/ckaf122	2025	Targeting under-screened women in cervical cancer: combining self-sampling and human papillomavirus testing with a strat	Portugal	HIC	underscreened_general		home_mail	mail_to_home_return_mail	unk	reminders	Y	DNA	cytology	other		801.0		Y	completion_reported	91.7	hrHPV-positive participants: 11/12 completed gynecological follow-up.	N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_40735948	40735948	10.1111/1471-0528.18262	2025	SIP 7: Progress in Cervical Cancer Prevention in the UK (2025 Second Edition).	UNK	UNK	other		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	DNA	direct_colposcopy	other			0.0	Y	referral_only			N	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.	CORE	extractable_implementation_or_cascade_result	
PMID_40789299	40789299	10.1016/s2468-2667(25)00172-0	2025	Cervical screening approach of self-collection, point-of-care HPV testing, and same-day colposcopy among Aboriginal and 	Australia	HIC	never_screened		community_outreach	outreach_event_distribution	mixed	unk	Y	UNK	cytology	program_evaluation	844.0	108.0	36.0	Y	completion_reported	95.0	Oncogenic HPV-positive participants: 21/22 completed same-day colposcopic assessment.	N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_40807187	40807187	10.3390/jcm14155569	2025	The Use of Self-Sampling Devices via a Smartphone Application to Encourage Participation in Cervical Cancer Screening: A	UNK	UNK	other		home_mail	unk	unk	unk	Y	DNA	cytology	other				N	none			N	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.	CORE	Pilot study of smartphone-based device with 277 participants.	277 patients were enrolled, with 226 self-collected swabs received for analysis.
PMID_40813245	40813245	10.9745/ghsp-d-24-00282	2025	Development of a Cervical Cancer Screening Program in Rural Guatemala.	UNK	UNK	other	Indigenous/minority focus	home_mail	mail_to_home_return_mail	unk	unk	Y	UNK	cytology	program_evaluation				Y	referral_only			N	N	Y		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_40877387	40877387	10.1038/s41598-025-15957-y	2025	Assessing the feasibility of HPV screening for cervical cancer in pregnant women in Ethiopia.	Ethiopia	LMIC	other	Pregnant women historically excluded from screening in LMIC settings.	clinic	clinic_pickup_return_clinic	clinic	in_person	Y	DNA	VIA	feasibility_study	127	117	92.1	Y	completion_reported	93.1	HPV-positive pregnant women were invited for triage/follow-up; abstract reports 27/29 attendance. Added after final 58-record adjudication; not part of the earlier broad map.	N	Y	N		Added after final adjudication of high-risk false-negative records; charted from PubMed abstract-level information.	CORE	Ethiopian feasibility study of HPV self-sampling screening in pregnant women reports participation, HPV results, and triage pathway.	Final adjudication based on PubMed abstract evidence and independent review worksheet.
PMID_40892862	40892862	10.1371/journal.pgph.0005149	2025	The acceptability, safety, and performance of primary cervical screening through self-collected vaginal samples in an ur	UNK	UNK	underscreened_general		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	DNA	direct_colposcopy	observational	2256.0	30.0	71.1	Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_40895516	40895516	10.1016/j.eclinm.2025.103357	2025	Impact of mode of offer of self-sampling to people overdue cervical screening on screening participation: a randomised c	UNK	UNK	nonattenders		home_mail	unk	mail	reminders	Y	UNK	unk	individual_RCT	123.0	6080.0	1.9	N	none			N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_40952305	40952305	10.31557/apjcp.2025.26.9.3469	2025	The Utilization of Human Papillomavirus Testing for Cervical Cancer Screening in Thailand: A Comparison of Screening with and without Self-sampling Samples.	Thailand	LMIC	underscreened_general		organized_screening	mixed_or_multiarm	unk	unk	Y	DNA	unk	retrospective_registry	11925	5056	42.4	N	none		Added after final 58-record adjudication; not part of the earlier broad map.	N	N	N		Added after final adjudication of high-risk false-negative records; charted from PubMed abstract-level information.	CORE	Thai programme/registry evaluation compares HPV screening with and without self-sampling and reports screening rate, self-test use, and cancer detection.	Final adjudication based on PubMed abstract evidence and independent review worksheet.
PMID_40956285	40956285	10.1158/1055-9965.epi-25-0863	2025	Mailing Vaginal or Urine Self-Sampling Kits versus Conventional Invitation Letters: A Randomized Trial to Assess the Effect on Cervical Cancer Screening Attendance.	France	HIC	nonattenders	No screening test recorded for more than 4 years and nonresponse to prior invitation.	organized_screening	mail_to_home_return_mail	mail	reminders	Y	DNA	unk	randomized_trial	13061	3075	23.5	N	none		Added after final 58-record adjudication; not part of the earlier broad map.	N	N	N		Added after final adjudication of high-risk false-negative records; charted from PubMed abstract-level information.	CORE	Randomized trial among women not regularly screened/nonresponders comparing mailed vaginal or urine self-sampling kits with conventional invitation and reporting participation.	Final adjudication based on PubMed abstract evidence and independent review worksheet.
PMID_41161016	41161016	10.1016/j.jcv.2025.105883	2025	Performance of the Alinity m HR HPV assay on self-collected vaginal samples compared to clinician-collected cervical sam	UNK	UNK	underscreened_general		primary_care	unk	in_person	unk	Y	UNK	direct_colposcopy	other				Y	referral_only			N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41167263	41167263	10.5858/arpa.2025-0325-oa	2025	Effectiveness of Human Papillomavirus Self-collection for Cervical Cancer Screening in Community Outreach Programs.	UNK	UNK	underscreened_general		community_outreach	clinic_pickup_return_clinic	mixed	unk	Y	DNA	cytology	observational				Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41267012	41267012	10.1186/s12913-025-13488-w	2025	Moroccan and Pakistani women's knowledge and perceptions on cervical cancer screening and HPV self-sampling acceptabilit	Spain	HIC	underscreened_general		home_mail	outreach_event_distribution	unk	unk	Y	UNK	cytology	observational				N	none			Y	Y	N		Field reconciled during final eligibility review.	CORE	Mixed-methods implementation study with try-at-home data.	Over half of the participants (56%) accepted to try at least one self-sampling device.
PMID_41285635	41285635	10.46747/cfp.711112e280	2025	Uptake and feasibility of HPV self-sampling among patients of a Canadian family medicine clinic.	UNK	UNK	migrant_minority		community_outreach	outreach_event_distribution	mixed	unk	Y	UNK	direct_colposcopy	program_evaluation				Y	referral_only		Reported HPV self-sampling completion and referral counts after positive results, but not completion of Pap/colposcopy referral.	N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.	CORE	extractable_implementation_or_cascade_result	
PMID_41360484	41360484	10.1136/bmjgh-2025-019061	2025	Participation in cervical cancer screening among migrants and non-migrants in primary healthcare in Lisbon: a register-b	UNK	UNK	migrant_minority		other	clinic_pickup_return_clinic	unk	incentives	Y	UNK	cytology	other			9.6	N	none			Y	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41408509	41408509	10.1186/s12875-025-03139-8	2025	Opportunistic offer of human papillomavirus (HPV) self-testing in ethnically diverse primary care clinics in Aotearoa Ne	New Zealand	HIC	underscreened_general		home_mail	clinic_pickup_return_clinic	unk	unk	Y	UNK	direct_colposcopy	other		30.0	61.1	Y	referral_only			N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41412622	41412622	10.1136/bmjopen-2025-103915	2025	Cervical high-risk human papillomavirus infection and its associated risk factors: a community-based cross-sectional stu	UNK	UNK	other		community_outreach	outreach_event_distribution	mixed	unk	Y	DNA	cytology	other	8000.0			N	none			N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41445714	41445714	10.1017/cts.2025.10172	2025	Patient attitudes toward HPV self-sampling and community health worker-delivered cervical cancer screening services in a	UNK	UNK	other		home_mail	outreach_event_distribution	unk	unk	Y	UNK	cytology	observational				N	none			N	N	N		Field reconciled during final eligibility review.	CORE	Real project assessment with CHW delivery willingness.	...Black patients had higher willingness for HPV self-sampling and CHW delivery...
PMID_41459847	41459847	10.31557/apjcp.2025.26.12.4331	2025	Evaluating The Feasibility and Acceptability of Cervical Cancer Screening in an Urban Slum Community by HPV Self-Samplin	UNK	UNK	other		community_outreach	outreach_event_distribution	mixed	unk	Y	UNK	direct_colposcopy	other				Y	referral_only			N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.	CORE	extractable_implementation_or_cascade_result	
PMID_41459991	41459991	10.1002/ijc.70321	2025	Cancer detection using human papillomavirus self-sampling targeting long-term non-attenders in an organized cervical scr	UNK	UNK	nonattenders		other	mail_to_home_return_mail	unk	unk	Y	UNK	cytology	individual_RCT			5.6	Y	referral_only		Reported HPV positivity and cancer/HSIL yield; follow-up attendance/completion not reported.	N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_41466250	41466250	10.1186/s12913-025-13768-5	2025	Readiness to transition to HPV self-collection from VIA screening: a mixed methods health systems assessment from Tamil 	UNK	UNK	other		community_outreach	outreach_event_distribution	mixed	unk	Y	UNK	cytology	observational				Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_37633857	37633857	10.1007/s10552-023-01778-9	2024	HPV self-sampling among women in the United States: preferences for implementation.	United States	HIC	other		home_mail	mail_to_home_return_mail	unk	unk	Y	UNK	unk	other				Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_37935320	37935320	10.1016/j.amepre.2023.10.020	2024	Self-Sampling for Human Papillomavirus Testing: Acceptability in a U.S. Safety Net Health System.	United States	HIC	underscreened_general		home_mail	mail_to_home_return_mail	mail	unk	Y	UNK	cytology	observational				N	none			N	Y	N		Field reconciled during final eligibility review.	CORE	Acceptability study based on actual mailed kit users (n=164).	...reported using the mailed kit (n=164)...
PMID_38060284	38060284	10.1093/jncics/pkad103	2024	Self-sampling tools to increase cancer screening among underserved patients: a pilot randomized controlled trial.	UNK	UNK	other		home_mail	mail_to_home_return_mail	mail	reminders	Y	UNK	cytology	individual_RCT				Y	referral_only			Y	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.	CORE	extractable_implementation_or_cascade_result	
PMID_38415526	38415526	10.31557/apjcp.2024.25.2.419	2024	Out-reach Colposcopy Clinics and HPV Self-Sampling Decreases Loss to Follow up in a Community based Cervical Cancer Scre	UNK	UNK	other		community_outreach	outreach_event_distribution	mixed	unk	Y	UNK	direct_colposcopy	observational				Y	completion_reported	45.2	HPV-positive colposcopy attendance increased from 28.5% to 45.2% with outreach clinics; one-year follow-up participation was 60%.	N	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_38451956	38451956	10.1371/journal.pone.0292605	2024	Cervical cancer prevention: Feasibility of self-sampling and HPV testing in rural and urban areas of Bolivia: An observa	Netherlands	HIC	other		primary_care	clinic_pickup_return_clinic	in_person	unk	Y	DNA	cytology	other				Y	referral_only		Waiting in clinic for results described	N	N	N		Field reconciled during final eligibility review.	CORE	Observational study with 2168 enrolled participants.	2168 women were enrolled... 255 samples were positive...
PMID_38578742	38578742	10.1371/journal.pone.0301385	2024	Strategies for primary HPV test-based cervical cancer screening programme in resource-limited settings in India: Results	UNK	UNK	other		community_outreach	outreach_event_distribution	mixed	unk	Y	UNK	direct_colposcopy	observational				Y	completion_reported	45.5	HPV-positive triage compliance was reported by site (53.6%, 45.5%, and 84.6%); lowest explicit site value coded conservatively.	N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_38648390	38648390	10.1002/ijc.34970	2024	Effectiveness of self-sampling human papillomavirus test on precancer detection and screening uptake in Japan: The ACCESS randomized controlled trial.	Japan	HIC	nonattenders	Women not participating in screening for at least 3 years.	organized_screening	mail_to_home_return_mail	mail	reminders	Y	DNA	cytology	randomized_trial	15109	1467	20.0	Y	completion_reported	46.8	Cytology triage compliance among HPV-positive women reported. Added after final 58-record adjudication; not part of the earlier broad map.	N	N	N		Added after final adjudication of high-risk false-negative records; charted from PubMed abstract-level information.	CORE	ACCESS randomized trial among women not participating in screening for at least three years; reports self-sampling intervention uptake and triage compliance.	Final adjudication based on PubMed abstract evidence and independent review worksheet.
PMID_38649876	38649876	10.1186/s12889-024-18551-5	2024	Acceptability of self-collected vaginal samples for human papillomavirus testing for primary cervical cancer screening: 	UNK	UNK	underscreened_general		primary_care	mail_to_home_return_mail	in_person	unk	Y	DNA	cytology	observational		1200.0	8.9	N	none			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_38723214	38723214	10.1200/go.24.00005	2024	Culturally Competent Education and Human Papillomavirus Self-Sampling Achieves Healthy People 2030 Cervical Screening Ta	United States	HIC	underscreened_general		primary_care	outreach_event_distribution	in_person	unk	Y	UNK	cytology	other			1.0	N	none			Y	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_38751040	38751040	10.1002/ijc.34989	2024	Sociodemographic characteristics associated with cervical cancer screening participation by send-to-all and opt-in HPV s	UNK	UNK	underscreened_general		other	mail_to_home_return_mail	unk	reminders	Y	UNK	unk	individual_RCT	6000.0	35.0	7.1	N	none			Y	N	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_38770733	38770733	10.19191/ep24.2.a670.043	2024	Management choices for better outcomes in oncologic screening programmes.	UNK	UNK	nonattenders		other	unk	unk	reminders	Y	UNK	unk	other		2019.0	8.5	Y	referral_only			N	N	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.	CORE	extractable_implementation_or_cascade_result	
PMID_38781145	38781145	10.1371/journal.pgph.0003186	2024	Patient preference and acceptability of self-sampling for cervical screening in colposcopy clinic attenders: A cross-sec	UNK	UNK	underscreened_general		community_outreach	clinic_pickup_return_clinic	mixed	unk	Y	DNA	direct_colposcopy	observational			6.0	Y	referral_only			N	Y	N		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
PMID_38843549	38843549	10.26635/6965.6267	2024	Preliminary assessment of using mobile point-of-care human papillomavirus (HPV) testing with the option of immediate col	New Zealand	HIC	other	Indigenous/minority focus	community_outreach	outreach_event_distribution	mixed	unk	Y	DNA	direct_colposcopy	observational				Y	referral_only			N	Y	N		Auto-charted from abstract-level info; verify/complete when OA full text is available.	CORE	extractable_implementation_or_cascade_result	
PMID_38864276	38864276	10.1089/jwh.2024.0284	2024	Building Capacity for Cervical Cancer Prevention in U.S.-Affiliated Pacific Islands: The Pacific Against Cervical Cancer	United States	HIC	underscreened_general		community_outreach	outreach_event_distribution	mixed	unk	Y	UNK	cytology	program_evaluation				Y	referral_only			N	Y	Y		Field reconciled during final eligibility review.	CORE	extractable_implementation_or_cascade_result	
